A,B,C,D,E,F
24,40,84,79,50,32
96,94,25,65,98,77
71,78,79,2,84,59
43,36,34,20,46,93
49,43,39,25,32,43
11,86,12,58,33,90
83,60,77,84,31,11
50,31,1,58,78,47
55,69,94,93,86,23
55,100,17,15,60,58
94,6,52,31,47,42
66,98,71,59,58,90
41,13,17,33,32,27
31,100,80,83,97,99
25,39,2,35,89,62
49,53,5,24,44,12
60,10,81,27,57,0
63,16,94,14,80,39
70,92,38,83,72,36
90,51,48,97,14,92
91,32,99,74,36,9
33,82,51,45,5,27
32,3,19,25,47,51
84,79,60,92,95,94
44,48,80,83,41,4
47,1,3,78,89,94
69,12,11,39,57,47
70,100,52,41,58,26
63,52,95,86,31,82
57,67,41,73,75,52
68,71,33,36,70,56
71,13,61,66,94,87
18,6,40,40,60,38
91,13,0,94,82,54
85,51,80,29,16,84
55,20,61,31,66,99
86,5,89,79,79,40
27,42,90,27,61,70
34,93,77,87,4,80
52,16,43,61,9,56
62,79,65,46,73,46
29,18,28,48,59,25
97,63,38,72,69,80
66,49,18,36,61,81
1,37,83,10,59,2
55,32,87,3,74,77
51,47,61,55,78,61
30,99,89,88,35,18
83,33,93,14,39,34
47,22,99,1,1,51
22,37,30,6,58,85
61,93,17,88,85,99
17,4,43,68,24,47
25,92,3,52,26,73
81,85,34,81,54,93
70,47,93,83,19,39
73,98,53,42,41,80
37,18,69,23,7,67
83,6,51,49,35,28
18,80,94,71,86,22
77,81,82,76,15,18
22,43,51,96,75,19
20,90,13,58,47,13
51,30,52,54,54,91
45,59,49,86,76,30
72,75,51,61,68,68
53,56,60,39,100,65
7,73,63,14,21,29
49,88,41,71,86,44
92,53,55,43,72,76
23,43,17,44,11,37
75,47,53,54,77,51
36,84,40,72,0,83
3,32,48,47,85,51
89,38,88,85,37,16
13,33,92,40,51,76
70,97,96,52,67,12
67,22,68,41,54,40
33,8,27,64,33,6
19,53,17,27,40,44
24,12,53,83,15,6
39,92,57,36,84,57
92,22,34,33,15,23
64,27,18,32,67,76
33,27,52,44,15,80
71,57,63,99,60,25
65,97,74,12,54,15
28,65,100,26,85,54
6,30,81,53,4,23
78,71,89,1,28,73
53,98,45,11,38,87
38,76,65,92,3,94
82,87,14,88,40,35
94,68,1,94,72,71
80,8,75,93,51,7
68,27,97,15,21,26
20,22,16,26,39,53
74,80,5,40,85,57
80,12,40,65,96,92
83,72,93,1,73,8
13,74,5,31,42,15
28,19,50,34,95,40
11,27,94,84,96,1
1,75,38,40,19,21
85,68,38,54,80,52
36,86,71,66,16,58
65,21,20,96,41,0
100,39,90,58,17,68
17,57,89,24,69,47
3,36,26,55,49,79
56,52,58,42,69,59
37,78,48,39,45,28
51,9,22,41,25,6
96,5,42,67,80,33
15,73,12,95,54,79
100,1,97,29,93,90
66,62,53,3,98,63
37,86,30,5,48,60
19,41,41,57,85,99
15,46,93,21,46,32
98,6,98,22,76,72
48,99,83,49,48,12
52,19,38,52,77,56
94,58,45,24,47,54
85,29,67,84,27,58
98,37,46,7,53,41
66,32,36,95,28,95
22,97,58,3,56,76
13,65,6,98,37,27
79,97,63,74,57,52
15,18,3,24,73,60
53,0,96,16,0,29
78,42,13,67,16,16
83,73,2,26,97,70
63,85,5,99,62,20
93,5,69,77,60,84
37,96,15,98,74,88
35,55,93,1,88,75
41,91,49,83,67,23
74,82,5,79,40,74
84,8,71,21,20,100
56,62,25,83,39,96
73,69,76,1,67,57
42,90,61,36,4,66
31,44,57,61,32,74
52,21,59,41,76,5
62,1,42,97,91,89
86,71,46,69,34,2
47,85,14,72,81,78
81,63,30,66,11,7
73,59,73,65,65,94
46,26,28,9,66,19
20,48,11,88,0,26
53,0,16,90,83,6
26,12,26,5,24,23
93,37,90,89,68,30
33,5,76,90,5,28
57,98,2,46,20,84
41,39,13,93,69,58
40,92,75,29,9,35
14,92,60,47,50,24
56,18,44,39,29,19
26,78,91,61,51,75
100,67,22,4,57,8
41,91,50,75,63,8
27,89,97,53,34,16
9,42,91,88,7,71
49,64,67,40,26,62
26,34,54,0,35,12
60,3,91,62,22,88
25,38,40,75,99,71
25,69,46,60,25,50
47,80,77,60,10,35
3,15,21,49,44,71
19,3,67,36,48,58
18,56,65,12,78,7
90,3,99,97,29,43
26,75,59,9,42,76
52,62,29,4,66,98
46,93,3,36,49,31
82,19,94,85,94,10
2,27,1,4,67,43
98,17,92,94,90,13
32,57,78,41,12,80
67,78,26,69,4,5
85,51,44,48,37,41
46,26,3,61,37,55
57,10,49,31,18,72
73,98,1,15,87,88
35,32,93,16,65,30
32,22,28,71,68,31
23,48,97,98,76,94
42,56,18,96,3,57
99,46,24,90,100,31
81,61,40,76,10,14
12,50,97,84,52,50
49,85,81,52,73,33
50,2,61,88,3,100
62,45,16,49,28,29
36,98,81,36,89,25
